Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
jiratest,Chrome 98.0.4758.80,,,2022-02-15 11:51:09,2022-02-15 11:51:29,19.609s,PASSED
,,,,,,,
Test Cases/KAT-1 katalon test,Chrome 98.0.4758.80,"Summary: katalon test
Description: katalon test",jira-integration,2022-02-15 11:51:09,2022-02-15 11:51:29,19.187s,PASSED
"runFeatureFile(""Include/features/KAT-1 katalon test.feature"")",Chrome 98.0.4758.80,,,2022-02-15 11:51:10,2022-02-15 11:51:10,0.545s,PASSED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-15 11:51:10,2022-02-15 11:51:16,5.323s,PASSED
"navigateToUrl(""http://121.40.154.50:8049/login"")",Chrome 98.0.4758.80,,,2022-02-15 11:51:16,2022-02-15 11:51:19,2.959s,PASSED
"setText(findTestObject(""Object Repository/Page_Zetta Decision/input_Name_loginName""), ""13666666666"")",Chrome 98.0.4758.80,,,2022-02-15 11:51:19,2022-02-15 11:51:22,3.417s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Zetta Decision/input_Password_loginPwd""), ""aeHFOx8jV/A="")",Chrome 98.0.4758.80,,,2022-02-15 11:51:22,2022-02-15 11:51:23,0.748s,PASSED
"click(findTestObject(""Object Repository/Page_Zetta Decision/button_""))",Chrome 98.0.4758.80,,,2022-02-15 11:51:23,2022-02-15 11:51:24,0.870s,PASSED
"click(findTestObject(""Object Repository/删除业务模型/Page_Zetta Decision/a_""))",Chrome 98.0.4758.80,,,2022-02-15 11:51:24,2022-02-15 11:51:26,2.383s,PASSED
"mouseOver(findTestObject(""删除业务模型/Page_Zetta Decision/svg - Copy""))",Chrome 98.0.4758.80,,,2022-02-15 11:51:26,2022-02-15 11:51:29,2.532s,PASSED
