Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
模拟创建_删除业务模型,Chrome 98.0.4758.80,,,2022-02-15 18:18:55,2022-02-15 18:26:58,8m - 3.346s,FAILED
,,,,,,,
Test Cases/配置业务模型,Chrome 98.0.4758.80,,,2022-02-15 18:18:55,2022-02-15 18:21:35,2m - 39.470s,PASSED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-15 18:18:56,2022-02-15 18:19:02,6.126s,PASSED
"navigateToUrl(""http://121.40.154.50:8049/login"")",Chrome 98.0.4758.80,,,2022-02-15 18:19:02,2022-02-15 18:19:05,3.115s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Name_loginName""), ""13666666666"")",Chrome 98.0.4758.80,,,2022-02-15 18:19:05,2022-02-15 18:19:08,3.397s,PASSED
"setEncryptedText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Password_loginPwd""), ""aeHFOx8jV/A="")",Chrome 98.0.4758.80,,,2022-02-15 18:19:08,2022-02-15 18:19:09,0.620s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/button_""))",Chrome 98.0.4758.80,,,2022-02-15 18:19:09,2022-02-15 18:19:10,0.834s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/a_""))",Chrome 98.0.4758.80,,,2022-02-15 18:19:10,2022-02-15 18:19:12,2.073s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span_""))",Chrome 98.0.4758.80,,,2022-02-15 18:19:12,2022-02-15 18:19:14,1.825s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input__modelName""), ""taouser1"")",Chrome 98.0.4758.80,,,2022-02-15 18:19:14,2022-02-15 18:19:15,1.192s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Code_modelCode""), ""taouser1"")",Chrome 98.0.4758.80,,,2022-02-15 18:19:15,2022-02-15 18:19:16,1.055s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/div_CodeIDIDIDID""))",Chrome 98.0.4758.80,,,2022-02-15 18:19:16,2022-02-15 18:19:16,0.476s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/button__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:19:16,2022-02-15 18:19:17,0.508s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span_""))",Chrome 98.0.4758.80,,,2022-02-15 18:19:17,2022-02-15 18:19:18,1.121s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input__modelName""), ""涛视频1"")",Chrome 98.0.4758.80,,,2022-02-15 18:19:18,2022-02-15 18:19:20,1.929s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Code_modelCode""), ""taovideo1"")",Chrome 98.0.4758.80,,,2022-02-15 18:19:20,2022-02-15 18:19:21,0.721s,PASSED
